btc_price,grams,quality,escrow,successful_transactions,rating,ships_to_US,ships_from_US,ships_to_NL,ships_from_NL,ships_to_FR,ships_from_FR,ships_to_GB,ships_from_GB,ships_to_CA,ships_from_CA,ships_from_DE,ships_to_AU,ships_from_AU,ships_to_EU,ships_from_EU,ships_from_ES,ships_to_N. America,ships_from_BE,ships_from_WW,ships_to_SI,ships_from_IT,ships_from_BR,intro,colombia,peru,bolivia,caps,free_ship,uncut,fish_cut,brick,crack,crystal,flake,pure
13.62,6.214608098422191,90.0,0,540,4.86,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
12.88,6.214608098422191,90.0,0,490,4.97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.30434782608695654,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
12.75,6.620073206530356,92.0,0,360,4.86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.67,6.214608098422191,90.0,0,620,4.84,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11.99,6.214608098422191,91.0,0,310,4.74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.59,6.214608098422191,90.0,1,20,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.2894736842105263,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10.8,6.214608098422191,90.0,1,230,4.87,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.6086956521739131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.56,6.214608098422191,90.0,1,180,4.88,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.68,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
10.3,6.214608098422191,90.0,0,70,4.76,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10.3,6.214608098422191,82.0,1,130,4.94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.3488372093023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.95,6.214608098422191,70.0,0,620,4.84,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.89,6.214608098422191,91.0,0,110,4.94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.16326530612244897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.79,6.214608098422191,89.0,1,620,4.94,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.6511627906976745,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.79,6.214608098422191,80.0,1,130,4.94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.3409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.79,6.214608098422191,90.0,1,24,4.62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9.53,6.214608098422191,93.0,1,100,4.78,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.7021276595744681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.27,6.214608098422191,92.0,1,150,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.27,6.214608098422191,84.0,1,460,4.69,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.27,6.214608098422191,90.0,1,60,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.23684210526315788,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.27,6.214608098422191,92.0,0,360,4.86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.01,6.214608098422191,90.0,1,90,4.63,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.55,6.214608098422191,84.0,0,780,4.82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.34,6.214608098422191,90.0,1,350,4.99,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
8.25,6.214608098422191,90.0,1,70,4.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0851063829787234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8.24,6.214608098422191,88.0,1,150,4.94,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.11904761904761904,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.24,6.214608098422191,90.0,1,300,4.88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.061224489795918366,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
7.98,6.214608098422191,90.0,1,1700,4.89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.11627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.47,6.214608098422191,90.0,0,60,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.14893617021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.08,5.521460917862246,90.0,1,20,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.2894736842105263,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
