,product_title,ships_from_to,grams,quality,btc_price,cost_per_gram,cost_per_gram_pure,escrow,product_link,vendor_link,vendor_name,successful_transactions,rating,ships_from,ships_to,ships_to_US,ships_from_US,ships_to_NL,ships_from_NL,ships_to_FR,ships_from_FR,ships_to_GB,ships_from_GB,ships_to_CA,ships_from_CA,ships_to_DE,ships_from_DE,ships_to_AU,ships_from_AU,ships_to_EU,ships_from_EU,ships_to_ES,ships_from_ES,ships_to_N. America,ships_from_N. America,ships_to_BE,ships_from_BE,ships_to_WW,ships_from_WW,ships_to_SI,ships_from_SI,ships_to_IT,ships_from_IT,ships_to_DK,ships_from_DK,ships_to_S. America,ships_from_S. America,ships_to_CH,ships_from_CH,ships_to_BR,ships_from_BR,ships_to_CZ,ships_from_CZ,ships_to_SE,ships_from_SE,ships_to_CO,ships_from_CO,ships_to_CN,ships_from_CN,ships_to_PL,ships_from_PL,ships_to_GR,ships_from_GR
4239,★ 0.5G 85% PURE FISHSCALE COCAINE ★,GB  → GB,0.5,85,0.0293,0.0586,0.0689411765,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=394388.337811,http://lchudifyeqm4ldjj.onion/contactMember?member=CocaineCowboy,CocaineCowboy,80,4.95,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4289,★ 1G PURE Cocaine +90% TOP-QUALiTY ★,NL  → WW,1,90,0.02896,0.02896,0.0321777778,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=149776.161888,http://lchudifyeqm4ldjj.onion/contactMember?member=DutchFactory,DutchFactory,400,4.91,NL,WW,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3591,Colombian Flakey Fishscale Cocaine 1 gr (90%+),"NL  → EU, WW",1,90,0.02886,0.02886,0.0320666667,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=177824.234797,http://lchudifyeqm4ldjj.onion/contactMember?member=HardDrugsSpecialist,HardDrugsSpecialist,170,4.95,NL,"EU, WW",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1236,1G Colombian Fish Flake 90% Pure,GB  → GB,1,90,0.02876,0.02876,0.0319555556,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=664899.708522,http://lchudifyeqm4ldjj.onion/contactMember?member=MarioBrothers,MarioBrothers,14,4.92,GB,GB,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,***Best Cocaine*** UNCUT 90% 1g,"DE  → DE, EU",1,90,0.0283,0.0283,0.0314444444,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=765125.162189,http://lchudifyeqm4ldjj.onion/contactMember?member=Barrio,Barrio,100,5,DE,"DE, EU",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
247,"0,5 g kokain, cocain 0,5 g, over 80%","DE  → EU, DE",0.5,80,0.0283,0.00566,0.007075,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=351582.394778,http://lchudifyeqm4ldjj.onion/contactMember?member=homegrow1919,homegrow1919,80,4.96,DE,"EU, DE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
494,1 GR 90%+ Pure Uncut Colombian Flakes!!!,NL  → EU,1,90,0.0283,0.0283,0.0314444444,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=344571.596849,http://lchudifyeqm4ldjj.onion/contactMember?member=cartmanproducts,cartmanproducts,350,4.99,NL,EU,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
511,1 GRAM COCAINE FISHSCALE PURE FLAKE 90% ***PROMOTI,NL  → EU,1,90,0.0283,0.0283,0.0314444444,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=882381.495609,http://lchudifyeqm4ldjj.onion/contactMember?member=amsterdamflex,amsterdamflex,180,4.88,NL,EU,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
518,1 GRAMS COLOMBIAN COCAINE 93% + FREE SHIPPING,"DE  → EU, WW",1,93,0.0283,0.0283,0.0304301075,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=366028.198968,http://lchudifyeqm4ldjj.onion/contactMember?member=medicalzNL,medicalzNL,100,4.78,DE,"EU, WW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
528,1 Gram Bolivian Coke 90% LOW PRICES!!!!!,"DE  → DE, WW",1,90,0.0283,0.0283,0.0314444444,1,http://lchudifyeqm4ldjj.onion/viewProduct?offer=40223.287726,http://lchudifyeqm4ldjj.onion/contactMember?member=Gofastteam,Gofastteam,3250,4.91,DE,"DE, WW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
